writer_id,proposition_id,paragraph_type,model_name,model_input_condition,writer_stance,writer_stance_polarity,writer_confidence,writer_knowledge,writer_importance,paragraph_relevance,paragraph_clarity,paragraph_formality,paragraph_informativeness,paragraph_originality,writer_friendliness,writer_optimism,writer_community,writer_openness,paragraph_hope,paragraph_excitement,paragraph_fear,paragraph_disgust,paragraph_anger,writer_affect_x,writer_affect_y,writer_age,writer_age_binned,writer_gender,writer_race,writer_english_first,writer_english_skills,writer_education,writer_income,writer_politicalParty,writer_politicalIdeology
5f6660dbdd831c230e132024,385,writer,,,19.2,83.6,83.0,50.2,79.7,71.5,75.0,27.7,33.0,34.6,27.9,26.8,37.5,17.8,24.8,16.2,44.1,65.9,70.3,15.771,22.31,44.9,50-59,Male,White,Yes,Intermediate,GCSEs or equivalent,"£25,000-£34,999",Conservative,Very Right-Wing
574da26c7f1e770007f42d11,129,model,openai/chatgpt-4o-latest,bullets-based,96.18181818181819,92.36363636363636,91.81818181818181,87.0909090909091,88.81818181818181,96.27272727272727,91.54545454545455,78.81818181818181,69.72727272727273,56.09090909090909,62.81818181818182,66.0,67.18181818181819,30.818181818181817,68.72727272727273,35.27272727272727,41.90909090909091,14.909090909090908,25.636363636363637,49.11727272727273,37.948181818181816,32.81818181818182,18-29,Male,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Liberal Democrats,Moderately Left-Wing
67334911eb1de6dd02fc126a,52,writer,,,11.444444444444445,93.11111111111111,82.55555555555556,67.0,70.22222222222223,81.11111111111111,74.55555555555556,19.444444444444443,44.666666666666664,41.77777777777778,50.888888888888886,34.44444444444444,58.111111111111114,27.555555555555557,34.44444444444444,32.666666666666664,49.0,54.55555555555556,47.888888888888886,41.007777777777775,51.05777777777777,40.111111111111114,18-29,Male,White,Yes,Intermediate,GCSEs or equivalent,"£25,000-£34,999",Did not vote,Moderately Left-Wing
67780b20a4491fe787858ab8,357,model,anthropic/claude-sonnet-4,bullets-based,10.11111111111111,93.55555555555556,95.22222222222223,85.55555555555556,92.55555555555556,96.0,94.22222222222223,83.55555555555556,82.55555555555556,56.888888888888886,55.77777777777778,42.77777777777778,86.11111111111111,15.444444444444445,45.77777777777778,28.333333333333332,50.111111111111114,43.22222222222222,48.77777777777778,32.70333333333333,30.645555555555557,37.888888888888886,30-39,Female,White,Yes,Expert,Doctorate (PhD),"£50,000-£74,999",Labour,Moderately Left-Wing
67a5ddf8a1ccb91473e6d8cb,353,writer,,,65.11111111111111,46.22222222222222,79.0,82.22222222222223,73.33333333333333,91.11111111111111,82.77777777777777,86.11111111111111,81.0,71.88888888888889,61.666666666666664,53.77777777777778,66.66666666666667,49.55555555555556,52.22222222222222,42.55555555555556,32.0,29.444444444444443,27.666666666666668,48.38111111111111,43.58777777777778,45.333333333333336,40-49,Male,White,Yes,Expert,Postgraduate degree (Master's),"£75,000-£99,999",Conservative,Centrist
6329c13285c93cafdf51ed77,144,model,deepseek/deepseek-chat-v3-0324,bullets-based,94.5,89.0,90.5,72.6,82.9,76.3,83.9,65.3,62.5,50.7,51.5,44.3,71.6,14.6,47.0,25.8,55.8,30.0,38.7,37.101,30.387999999999998,32.1,18-29,Female,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Liberal Democrats,Moderately Left-Wing
63468b5809bf04222262bfed,12,model,openai/chatgpt-4o-latest,bullets-based,25.1,60.2,79.4,80.2,67.3,87.6,86.5,76.2,72.3,62.6,62.7,44.2,65.4,32.8,44.9,26.8,21.3,26.0,26.3,64.752,50.693,31.6,18-29,Female,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Labour,Centrist
5964ee31b752840001ca4ba4,393,edited,openai/chatgpt-4o-latest,bullets-based,18.9,66.2,82.2,77.7,75.7,88.2,84.3,86.2,74.1,53.8,58.6,53.2,69.1,39.0,49.2,27.0,31.9,25.5,20.8,51.198,48.541000000000004,43.0,40-49,Male,White,Yes,Expert,Postgraduate degree (Master's),"£35,000-£49,999",Conservative,Moderately Left-Wing
67506330a1a5a4adaa07b053,251,writer,,,67.8,37.2,49.5,43.9,41.2,55.5,39.1,11.6,15.0,18.5,55.4,47.7,57.6,50.9,36.6,24.6,16.0,7.0,11.6,53.02,55.092,31.5,18-29,Male,Mixed,Yes,Intermediate,A-levels or equivalent,"£25,000-£34,999",Did not vote,Centrist
5eff07d279c81803541503a8,200,model,deepseek/deepseek-chat-v3-0324,bullets-based,91.2,82.4,86.0,65.0,69.8,77.7,79.2,63.5,55.3,39.8,59.3,64.6,59.5,35.6,59.4,45.1,15.4,13.1,11.2,64.534,37.757999999999996,40.7,40-49,Male,White,Yes,Advanced,Undergraduate degree,"£25,000-£34,999",Conservative,Moderately Left-Wing
5c4d87576aeb5d00010184f8,278,writer,,,20.1,73.0,71.7,38.0,69.4,45.6,68.3,31.3,34.2,26.1,18.7,21.6,24.4,25.6,18.8,17.2,46.6,79.0,73.8,17.756999999999998,29.115,47.5,40-49,Male,White,Yes,Intermediate,Vocational qualification,"£25,000-£34,999",Conservative,Very Right-Wing
