writer_id,proposition_id,proposition_number,made_edits,edit_ratio,edit_distance
cdb22ea416a367d1,176,2,False,0.0,0
cdb22ea416a367d1,20,3,True,1.0,0
15aaecd43619943b,37,1,False,0.0,0
15aaecd43619943b,368,2,False,0.0,0
15aaecd43619943b,375,3,False,0.0,0
437fd066cfabaf3a,236,1,True,0.9436170212765957,103
437fd066cfabaf3a,181,2,True,0.9936753338018272,9
437fd066cfabaf3a,18,3,True,0.9355040701314965,100
c54ba0699016ad1a,128,1,False,0.0,0
c54ba0699016ad1a,345,2,True,0.966496308915389,52
c54ba0699016ad1a,308,3,False,0.0,0
661cf90a252f9436,41,1,True,0.9935064935064936,10
661cf90a252f9436,261,2,False,0.0,0
661cf90a252f9436,377,3,False,0.0,0
ed663b2053f2070c,18,1,False,0.0,0
ed663b2053f2070c,231,2,True,0.9507829977628636,83
ed663b2053f2070c,87,3,True,0.9702343255224826,38
79722aa5333dfb19,128,1,True,0.9186550976138829,128
79722aa5333dfb19,280,2,False,0.0,0
79722aa5333dfb19,156,3,False,0.0,0
23fef10c90f56230,361,1,False,0.0,0
23fef10c90f56230,99,2,False,0.0,0
23fef10c90f56230,122,3,False,0.0,0
dd0796c3b6ca46eb,61,1,False,0.0,0
dd0796c3b6ca46eb,356,2,False,0.0,0
dd0796c3b6ca46eb,280,3,False,0.0,0
9ca32df2f5e87fc8,230,1,False,0.0,0
9ca32df2f5e87fc8,37,2,False,0.0,0
9ca32df2f5e87fc8,387,3,False,0.0,0
2ec952533f61ead8,298,1,True,0.8631897203325775,181
2ec952533f61ead8,40,2,True,0.3475783475783476,683
2ec952533f61ead8,236,3,True,0.5571428571428572,558
10f0b50b42b95d1a,85,1,False,0.0,0
10f0b50b42b95d1a,104,2,False,0.0,0
10f0b50b42b95d1a,25,3,False,0.0,0
735fc01a3d13bf75,102,1,False,0.0,0
735fc01a3d13bf75,41,2,False,0.0,0
735fc01a3d13bf75,364,3,False,0.0,0
d86c17f5cddb4331,37,1,False,0.0,0
d86c17f5cddb4331,249,2,True,0.8818782098312545,149
d86c17f5cddb4331,378,3,False,0.0,0
f13b6e66ca5b6471,298,1,False,0.0,0
f13b6e66ca5b6471,85,2,True,0.9993183367416496,1
f13b6e66ca5b6471,358,3,False,0.0,0
cbbcab4e9b789293,54,1,False,0.0,0
cbbcab4e9b789293,249,2,False,0.0,0
cbbcab4e9b789293,303,3,False,0.0,0
fdc19d899b1e1742,25,1,True,0.983744100681699,29
fdc19d899b1e1742,87,2,False,0.0,0
fdc19d899b1e1742,125,3,True,0.8123021257349615,399
e27c4b4d470162cf,25,1,False,0.0,0
e27c4b4d470162cf,82,2,False,0.0,0
e27c4b4d470162cf,102,3,False,0.0,0
a65db15d309c5340,218,1,False,0.0,0
a65db15d309c5340,374,2,False,0.0,0
a65db15d309c5340,278,3,False,0.0,0
28bad6f53d6d9db9,369,1,False,0.0,0
28bad6f53d6d9db9,242,2,False,0.0,0
28bad6f53d6d9db9,249,3,False,0.0,0
62352d82d7a461c7,122,1,False,0.0,0
62352d82d7a461c7,393,2,False,0.0,0
62352d82d7a461c7,156,3,False,0.0,0
e733822fdc551204,187,1,False,0.0,0
e733822fdc551204,176,2,False,0.0,0
e733822fdc551204,250,3,False,0.0,0
40fce952c15f3bf0,251,1,False,0.0,0
40fce952c15f3bf0,378,2,False,0.0,0
40fce952c15f3bf0,303,3,False,0.0,0
9b74c258e2c36071,278,1,True,0.9239543726235742,152
9b74c258e2c36071,174,2,True,0.9993373094764745,1
9b74c258e2c36071,186,3,True,0.9594053744997141,65
6dc2f0566ea51e1f,88,1,False,0.0,0
6dc2f0566ea51e1f,377,2,False,0.0,0
6dc2f0566ea51e1f,378,3,False,0.0,0
782cd743a4a7a8bb,174,1,True,0.8899755501222494,180
782cd743a4a7a8bb,387,2,False,0.0,0
782cd743a4a7a8bb,46,3,True,1.0,0
4c21a00547fce1c3,346,1,True,0.98989898989899,17
4c21a00547fce1c3,353,2,True,0.9968944099378882,2
4c21a00547fce1c3,343,3,False,0.0,0
36754a23cb25ac90,231,1,True,0.996614759647935,5
36754a23cb25ac90,356,2,False,0.0,0
36754a23cb25ac90,393,3,True,0.9915529564652372,10
48b7698facf78f1d,268,1,False,0.0,0
48b7698facf78f1d,325,2,False,0.0,0
48b7698facf78f1d,371,3,False,0.0,0
f526e85201977bce,180,1,False,0.0,0
f526e85201977bce,22,2,False,0.0,0
f526e85201977bce,187,3,False,0.0,0
5b595cfbc0feb094,251,1,True,1.0,0
5b595cfbc0feb094,126,2,False,0.0,0
5b595cfbc0feb094,109,3,False,0.0,0
f34787d432505ed5,201,1,False,0.0,0
f34787d432505ed5,129,2,False,0.0,0
f34787d432505ed5,298,3,True,0.8313106796116505,265
