writer_id,extreme_more,moderate_more,informative_more,informative_less,clarity_more,clarity_less,open_views_more,open_views_less
56afa11aabec410005a56534,5,37,88,0,100,0,30,22
603f82cb2fafec01e1d6470a,15,49,96,4,99,3,49,7
5b12dd2630d562000155d420,0,0,50,0,80,0,49,0
68d2ba7285bce0b7c6ed8bf7,35,50,58,19,66,28,48,49
66fa9fa782a3e345cd55a7ef,18,35,71,24,81,19,64,24
60dccadad77a371b1b6d8609,25,26,81,14,74,7,47,6
672dc0fa8dac9b6e17b174a8,15,51,82,24,85,0,50,50
5963922fa670a10001941fc6,23,86,99,0,90,0,73,30
5fadaad925680e17109e0c0a,11,38,50,38,64,36,56,25
67606907592129a2cc3743df,50,50,100,0,100,0,100,0
6752cf8ec289846cfdcd04b0,59,58,89,13,96,4,55,53
602506758ee8db264d506754,20,70,60,25,93,10,62,31
6658b8079bdcfc7da425e0ec,0,50,100,0,100,0,80,20
66572ce80b83b5ae5cb07a0c,54,48,84,4,67,1,49,29
5f744af128d10909862d6fb0,50,50,100,0,100,0,0,0
5b8d02845548a50001e644ac,25,35,85,10,70,5,45,40
66951fdb9e7a9038e296ea8b,52,52,52,56,52,53,54,58
6773d61619c6135fee11adf9,46,46,75,25,88,12,60,43
63ed27349738654dde4655ae,32,75,88,13,81,12,74,18
616d8ff5eeb9a8616afa647d,5,22,85,16,65,8,50,11
5db01e642282410011fc7f17,15,50,65,65,65,65,20,17
650cc3f8246b2683c23b5b50,66,26,47,72,31,52,16,45
5aeb5aba7ed5460001572dad,13,70,89,10,64,7,50,50
612842ca25ad8ffd1b8e44ec,40,37,55,30,50,10,50,45
5810bb25b2432b00013e29ab,68,59,84,5,93,0,85,32
6784f489184dbdceae85a091,75,63,63,51,86,4,83,48
66622f4dcc391c4cf3d11d5f,14,16,81,9,98,7,76,18
691620ee5918a662d554779b,0,60,82,25,89,0,50,5
674499298b5241ab1d4e8974,3,35,80,0,64,0,58,7
676ed6c97f59dba5a786886d,6,72,84,15,81,17,91,5
67729e60541697ceee94bf03,25,70,90,20,93,18,51,34
5d5c19f4167a2b0001c0784e,0,48,100,0,100,0,63,10
66ace99b889e512451a4e5fd,6,9,73,14,85,5,19,7
5eaefa172e29805e3fc8081c,6,35,54,44,62,32,67,24
5dd4141e954d193f9c2d4d81,8,65,99,1,100,0,54,5
599d95d32842910001b2abd7,18,74,98,1,100,0,19,3
65fc61d874fb81c86e248af3,26,29,70,2,78,22,40,34
67a621a2dc25fcec4c62cf02,7,60,69,9,76,3,41,18
6888f9158ab561d6bbcf7466,20,30,100,9,100,0,12,51
6729e6ee38d22af12064ed25,49,81,85,6,91,8,80,12
5f12c085e4995823fd77494d,60,50,75,20,90,20,60,20
5805db219ff6120001a135a2,1,1,77,17,95,6,50,42
6703bd13050f8a2b8d865ec4,1,1,51,14,64,19,52,31
6773f183434dd88ea9b8ab5e,57,66,80,30,75,17,57,23
67e48fe0292eb135e6a513d8,47,56,65,23,68,18,72,22
6103d7b00cb90ef8d5c5260a,20,20,85,20,80,0,50,30
62b74ec256808d84b3e691d6,31,29,59,24,81,0,24,21
660d9ae9eb48e944156c6bfb,5,26,77,31,92,14,58,33
6778600892389a6812313be6,2,3,20,0,59,2,4,4
676053d1c484953696284bd8,25,65,92,6,100,5,51,51
68c9a7d2b54d1f6967823097,27,50,78,28,100,0,50,50
5f628a5497682b3094294505,52,58,72,35,72,59,73,37
66129913cfb0d4d6869dffd8,25,78,92,11,96,6,48,48
5bc58a439d9a7c0001cfa90e,10,90,80,0,90,0,50,40
66d9f094c75201b676af64e9,20,35,100,0,100,0,80,25
67fe726fc9d461ae5887e607,50,50,52,31,68,37,56,53
673745e84a5323a820408a6f,22,49,78,28,89,2,16,48
5d59d45948766d0018949d58,15,30,88,5,80,5,40,35
6659fdc13bceed5a87541da4,50,51,83,22,85,19,74,18
61472d4634b6f07a6a991ec4,62,63,84,32,65,47,69,35
65f98f88e930149a09c81d7d,35,63,86,14,83,25,53,42
5f85698002d58300092ad794,0,0,5,0,10,0,0,0
6035032b2b7720f4818f8042,0,50,100,0,100,0,25,0
67059f2dc5b623cb8a13d549,0,0,0,0,70,0,0,0
5f70670e26f83062b8e73a09,0,46,48,57,85,49,47,49
56d7623f04c67d000c7b9de6,7,66,97,4,95,3,93,7
5ea1b00819b84707cf74298f,0,0,25,0,25,0,0,0
610074329088b3e63b1ce2f1,0,0,50,15,85,15,30,30
637b9edf2a2055bf16796ae6,10,9,83,3,88,7,18,15
664c9de6874cd4d39680afea,63,60,67,27,71,21,33,29
60572e792b7a4cff55a2ad57,38,73,95,10,98,1,62,23
5c55dfdcb419770001c0e8eb,35,39,68,17,91,0,53,7
691e3fc7b0f34b9107c4cfb5,20,68,81,9,90,9,61,37
5f0d7190d63c6a000996da50,47,49,55,55,53,55,53,58
67fc2265467c0ab6f8114ce2,20,30,85,10,90,5,51,50
5c3b78f1717bc300010b0226,18,43,70,24,55,24,46,44
6159c79cf0ff056da723418c,90,20,80,10,90,1,50,80
676690b2d3f12d8c2d5641f6,10,5,40,0,50,0,54,0
5c33b497f28f2600010e703a,1,73,100,0,98,0,53,52
5f0b339b48213f430a2e548d,51,47,51,37,61,52,60,50
5eecb8be46d50e05fb6a3c1d,74,68,89,0,90,0,58,0
5e3c4d1621c442033da7bcd8,57,65,75,20,82,8,50,50
662266d75f37a6781e7d67d7,44,78,94,11,87,6,79,8
66e7381b679a09a5e859d755,96,92,99,60,86,56,89,58
61164d927b3dfed553f70e86,46,72,88,15,89,11,55,8
671ca2fa74b3f586c4928ca6,20,19,73,17,47,23,83,41
66e14355a1d8113bbf5c6e67,39,72,74,31,78,17,79,17
60d4aa208e23c392761da4a9,60,74,67,73,80,79,59,74
5e9593f997af0e19c6073957,3,15,75,25,90,0,15,15
5dd0409d9ca8a312350a4118,13,57,65,9,70,4,55,1
59921d7bb83f800001a5e452,30,40,80,20,100,0,35,35
6522a9d746012431e9216d5b,0,0,70,0,65,0,0,0
5ea55df76205ad53a793bc01,0,12,73,0,70,0,54,0
6671f8979384370db5e1c713,0,25,19,0,35,6,0,0
5c35c97cf9fb230001841017,0,80,100,0,100,0,100,0
5e099e7f76c03b255e2b61da,20,19,59,9,65,5,30,16
669177c66d14fd83c2a18125,61,59,82,31,82,17,88,11
5bc0c8bb1526430001e61bad,10,36,51,7,71,4,70,15
677679aa227c3dfaabb0008d,20,26,72,79,75,6,36,64
68894a193032a7ba212bdb70,4,49,90,3,100,8,72,23
587249a2e9cb31000195ed09,63,39,71,45,87,7,47,51
